id,label
alternativeText,"Alternative text"
annotations,"Annotations"
audioDescription,"Audio description"
bookmarks,"Bookmarks"
braille,"Braille"
captions,"Captions"
ChemML,"ChemML"
displayTransformability,"Display transformability"
highContrastAudio,"High contrast audio"
highContrastDisplay,"High contrast display"
index,"Index"
largePrint,"Large print"
latex,"LaTeX"
longDescription,"Long description"
MathML,"MathML"
printPageNumbers,"Print page numbers"
readingOrder,"Reading order"
signLanguage,"Sign language"
structuralNavigation,"Structural navigation"
tableOfContents,"Table of contents"
taggedPDF,"Tagged PDF"
tactileGraphic,"Tactile graphics"
tactileObject,"Tactile objects"
timingControl,"Timing control"
transcript,"Transcript"
ttsMarkup,"Text-to-speech markup"
unlocked,"Unlocked"
